pharmacy_key,pharmacy_name,city,address,phones_str,phones_json
ph_6d751df423e1,DE LA GARE,Adiake,,05 55 44 02 04 / 27 35 96 30 52,"[""05 55 44 02 04"", ""27 35 96 30 52""]"
ph_4975036270ee,MODERNE,Adiake,,27 21 30 76 94 / 07 09 68 29 72,"[""27 21 30 76 94"", ""07 09 68 29 72""]"
ph_532677a91972,AMIRA,Adzope,QUARTIER DIOULAKRO NON LOIN DU CENTRE D'ENSEIGNEMENT TECHNIQUE,27 23 54 11 71 / 27 23 54 00 07 / 05 05 46 64 44,"[""27 23 54 11 71"", ""27 23 54 00 07"", ""05 05 46 64 44""]"
ph_f6b4c6157b96,D'ADZOPE,Adzope,A L'ENTREE D'ADZOPE,27 23 54 19 11,"[""27 23 54 19 11""]"
ph_225e0d29dfd1,DU MASSAN,Adzope,RUE DU COMMERCE A COTE DE LA BANQUE ATLANTIQUE,27 23 54 03 42 / 07 57 49 38 53,"[""27 23 54 03 42"", ""07 57 49 38 53""]"
ph_6ab39cc693d2,EUREKA,Adzope,A PROXIMITE DU STADE MUNICIPAL ET DE LA BANQUE POPULAIRE,01 02 19 56 19 / 01 02 96 98 10,"[""01 02 19 56 19"", ""01 02 96 98 10""]"
ph_5a8bab80afed,LOUISE-ANTOINE,Adzope,AU GRAND MARCHE D'ADZOPE FACE A L'EGLISE PROTESTANTE METHODISTE,07 77 95 47 51 / 01 52 95 03 48,"[""07 77 95 47 51"", ""01 52 95 03 48""]"
ph_54be6d7a0eb2,SAINTE MARIE D'ELVE,Adzope,ROUTE DES SCIERIES EN FACE DU PETIT PORTAIL DU PALAIS DE JUSTICE,07 99 13 14 00 / 27 35 95 40 10,"[""07 99 13 14 00"", ""27 35 95 40 10""]"
ph_177ce81f6649,ST LAURENT,Adzope,QUARTIER MASSANDJI A COTE DE L'HOPITAL GENERAL,27 23 54 01 34 / 05 05 00 02 63,"[""27 23 54 01 34"", ""05 05 00 02 63""]"
ph_f2e782af0c0d,DE L'AGNEBY (GDE),Agboville,,01 02 03 66 25 / 07 78 98 96 21 / 07 48 00 23 66,"[""01 02 03 66 25"", ""07 78 98 96 21"", ""07 48 00 23 66""]"
ph_fd1b3b150702,DU CHATEAU,Agboville,,27 23 54 87 21,"[""27 23 54 87 21""]"
ph_a9367751aadf,DU COMMERCE (GDE),Agboville,,27 23 54 60 40 / 07 59 06 79 57,"[""27 23 54 60 40"", ""07 59 06 79 57""]"
ph_1d2735f3cc29,EL KABOD,Agboville,CARREFOUR BOMBAI,01 42 41 18 38,"[""01 42 41 18 38""]"
ph_e2b72c4e0828,MOAYE / M.AKE SIMPLICE,Agboville,,07 78 33 40 88 / 07 08 78 28 00,"[""07 78 33 40 88"", ""07 08 78 28 00""]"
ph_58f0968e10e5,SINI-KENEYA,Agboville,,07 58 09 46 03,"[""07 58 09 46 03""]"
ph_dfe737fa5183,AVENIR SANTE (EX K. BOILOT),Agnibilekro,,01 40 74 49 20,"[""01 40 74 49 20""]"
ph_141aedb5b7b2,LA PLENITUDE,Agnibilekro,,01 02 82 19 18,"[""01 02 82 19 18""]"
ph_98a3845eaa6e,MAI,Agnibilekro,,27 35 91 00 30,"[""27 35 91 00 30""]"
ph_addcc5071eb2,MAIRIE-NORD,Agnibilekro,,01 01 97 54 43,"[""01 01 97 54 43""]"
ph_e5c826c3a884,REINE DES ANGES,Azaguie,AZAGUIE GARE CARREFOUR MARCHE,05 06 82 55 78 / 01 02 98 43 48,"[""05 06 82 55 78"", ""01 02 98 43 48""]"
ph_13ee49e76df3,APPY-MOYA,Bayota,,07 02 77 69 63,"[""07 02 77 69 63""]"
ph_2b24a9b47a2b,KATA,Bayota,BAYOTA 1 PRES DU MARCHE,07 89 73 85 44,"[""07 89 73 85 44""]"
ph_1606fe435b4f,BONDOUKOU- MARCHE,Bondoukou,,27 35 90 57 89 / 07 58 68 23 51,"[""27 35 90 57 89"", ""07 58 68 23 51""]"
ph_c0824bf17888,CHOQUET (NLLE),Bondoukou,,27 35 91 51 51 / 01 03 64 20 99,"[""27 35 91 51 51"", ""01 03 64 20 99""]"
ph_844a6a225efd,DU LYCEE,Bondoukou,EN FACE DU LYCEE,07 77 25 57 30 / 01 41 40 80 92,"[""07 77 25 57 30"", ""01 41 40 80 92""]"
ph_5dba50872b19,DU ZANZAN,Bondoukou,,27 35 91 56 09 / 07 07 02 92 64,"[""27 35 91 56 09"", ""07 07 02 92 64""]"
ph_4667ce0bfd7d,NOTRE DAME DE BONDOUKOU,Bondoukou,QUARTIER ZANZAN CARREFOUR RUE PRINCESSE,07 99 29 93 63 / 05 01 65 16 18,"[""07 99 29 93 63"", ""05 01 65 16 18""]"
ph_880a7d1a52ac,NOUVELLE,Bondoukou,,27 35 91 52 61,"[""27 35 91 52 61""]"
ph_d28eb47891d7,DU GRAND MARCHE,Bonoua,,01 02 03 16 97 / 27 21 30 00 60,"[""01 02 03 16 97"", ""27 21 30 00 60""]"
ph_b86516533a03,EBEN-EZER,Bonoua,QUARTIER KOUMASSI EN FACE DE LA GARE ROUTIERE,27 21 30 90 55 / 01 02 80 20 08,"[""27 21 30 90 55"", ""01 02 80 20 08""]"
